OBJECTID,tipo_muestra,longitude,latitude,Departamento,Municipio,tecnica_medicion,Li_ppm2,Cu_ppm2,Co_ppm2,Ni_ppm2,La_ppm2,Ce_ppm2,Pr_ppm2,Nd_ppm2,Sm_ppm2,Eu_ppm2,Gd_ppm2,Tb_ppm2,Dy_ppm2,Ho_ppm2,Er_ppm2,Tm_ppm2,Yb_ppm2,Lu_ppm2,Sc_ppm2,Y_ppm2
4517,R: Roca,-76.74499135,3.556035925,VALLE DEL CAUCA,DAGUA,Activación neutrónica,,,,82,,,,,,,,,,,,,,,,12
4519,R: Roca,-76.62198179,3.525387697,VALLE DEL CAUCA,DAGUA,Activación neutrónica,,,,61,,,,,,,,,,,,,,,,39
4521,R: Roca,-76.61872139,3.533256628,VALLE DEL CAUCA,DAGUA,Activación neutrónica,,,,113,3.54,10.06,,6.2,1.78,1.18,2.23,0.29,,,,0.16,0.92,0.13,,10
4523,R: Roca,-76.63980584,3.598182244,VALLE DEL CAUCA,DAGUA,Activación neutrónica,,,,109,,,,,,,,,,,,,,,,23
4525,R: Roca,-76.64522755,3.598067551,VALLE DEL CAUCA,DAGUA,Activación neutrónica,,,,155,,1.8,,1.39,0.69,0.31,,0.19,,,,0.14,0.82,0.14,,9
4527,R: Roca,-76.65541123,3.618988995,VALLE DEL CAUCA,DAGUA,Activación neutrónica,,,,17,7,20,,16.65,5.52,3.09,6.91,1.52,,,,1.09,7.12,1.37,,75
4529,R: Roca,-76.6464419,3.604641057,VALLE DEL CAUCA,DAGUA,Activación neutrónica,,,,131,,,,,,,,,,,,,,,,11
4531,R: Roca,-76.64440515,3.60300259,VALLE DEL CAUCA,DAGUA,Activación neutrónica,,,,110,0.51,1.63,,1.36,0.69,0.39,1.07,0.17,,,,0.13,0.88,0.16,,9
4535,R: Roca,-76.67010933,3.627213097,VALLE DEL CAUCA,DAGUA,Activación neutrónica,,,,149,,,,,,,,,,,,,,,,25
4537,R: Roca,-76.68355565,3.675198972,VALLE DEL CAUCA,DAGUA,Activación neutrónica,,,,76,6.13,15.5,,13.22,4.03,1.54,6.1,1.09,,,,0.65,4.51,0.72,,40
4539,R: Roca,-76.66432646,3.689510968,VALLE DEL CAUCA,DAGUA,Activación neutrónica,,,,73,,,,,,,,,,,,,,,,38
4541,R: Roca,-76.65033152,3.762900495,VALLE DEL CAUCA,DAGUA,Activación neutrónica,,,,246,3.35,90.4,,7.8,2.41,0.98,3.43,0.67,,,,0.5,20.61,0.45,,27
4543,R: Roca,-76.60976437,3.489283038,VALLE DEL CAUCA,CALI,Activación neutrónica,,,,103,2.64,8.46,,6.86,2.5,0.91,2.71,0.57,,,,0.34,2.36,0.39,,24
4545,R: Roca,-76.61832188,3.505287008,VALLE DEL CAUCA,CALI,Activación neutrónica,,,,82,,,,,,,,,,,,,,,,25
4547,R: Roca,-76.62504617,3.816585036,VALLE DEL CAUCA,DAGUA,Activación neutrónica,,,,110,2.24,7.06,,7.14,2.18,0.88,3.4,0.6,,,,,2.3,0.35,,22
4549,R: Roca,-76.69910056,3.780533283,VALLE DEL CAUCA,DAGUA,Activación neutrónica,,,,58,4.56,14.47,,12.91,3.92,1.49,5.97,1.01,,,,0.67,4.29,0.66,,36
4551,R: Roca,-76.6037648,3.828483304,VALLE DEL CAUCA,DAGUA,Activación neutrónica,,,,35,1.92,6.08,,5.01,1.63,0.54,2.13,0.38,,,,0.28,1.72,0.29,,14
4553,R: Roca,-76.42200594,3.888592456,VALLE DEL CAUCA,YOTOCO,Activación neutrónica,,,,32,,,,,,,,,,,,,,,,26
4556,R: Roca,-76.40600319,3.885908111,VALLE DEL CAUCA,YOTOCO,Activación neutrónica,,,,81,,,,,,,,,,,,,,,,26
4558,R: Roca,-76.41575524,3.892468136,VALLE DEL CAUCA,YOTOCO,Activación neutrónica,,,,52,2.12,6.4,,5.06,1.8,0.53,,0.47,,,,0.39,2.12,0.36,,23
4560,R: Roca,-76.4041645,3.868202946,VALLE DEL CAUCA,YOTOCO,Activación neutrónica,,,,80,,,,,,,,,,,,,,,,27
4562,R: Roca,-76.42297342,3.851145719,VALLE DEL CAUCA,YOTOCO,Activación neutrónica,,,,5,3.73,12.14,,9.7,3.39,1.08,4.65,0.87,,,,0.65,4.19,0.72,,42
4564,R: Roca,-76.50504443,3.817701609,VALLE DEL CAUCA,RESTREPO,Activación neutrónica,,,,56,,,,,,,,,,,,,,,,37
4566,R: Roca,-76.49588515,3.745472543,VALLE DEL CAUCA,VIJES,Activación neutrónica,,,,48,3.99,11.33,,9.28,3.21,1.18,,0.86,,,,0.6,3.32,0.59,,35
4568,R: Roca,-76.47989259,3.735315782,VALLE DEL CAUCA,VIJES,Activación neutrónica,,,,14,,,,,,,,,,,,,,,,44
4570,R: Roca,-76.48199841,3.735743695,VALLE DEL CAUCA,VIJES,Activación neutrónica,,,,47,3.37,10.63,,8.51,2.73,1.22,3.96,0.72,,,,0.52,,1.83,,31
4572,R: Roca,-76.47862027,3.756886731,VALLE DEL CAUCA,VIJES,Activación neutrónica,,,,2,14.18,34.21,,18.5,4.77,1.02,5.65,1.01,,,,0.83,5.26,0.85,,50
4574,R: Roca,-76.47653588,3.721365301,VALLE DEL CAUCA,VIJES,Activación neutrónica,,,,22,,,,,,,,,,,,,,,,85
4577,R: Roca,-76.43614363,3.684374263,VALLE DEL CAUCA,VIJES,Activación neutrónica,,,,100,2.31,6.27,,5.76,1.83,0.72,2.62,0.53,,,,0.44,1.78,0.32,,20
4579,R: Roca,-76.46981243,3.712908395,VALLE DEL CAUCA,VIJES,Activación neutrónica,,,,57,4.41,13.88,,10.87,4.02,1.2,5.21,0.93,,,,0.56,3.71,0.59,,45
4581,R: Roca,-76.43020041,3.779671511,VALLE DEL CAUCA,YOTOCO,Activación neutrónica,,,,,8.31,20.01,,14.62,4.27,1.29,5.17,0.83,,,,0.56,3.7,0.6,,38
4583,R: Roca,-76.48795365,3.646114908,VALLE DEL CAUCA,YUMBO,Activación neutrónica,,,,97,2.93,8.84,,6.65,2.51,1.03,3.28,0.56,,,,0.38,2.44,0.43,,25
4585,R: Roca,-76.52076689,3.655015998,VALLE DEL CAUCA,YUMBO,Activación neutrónica,,,,106,2.93,9.97,,7.84,2.36,1.25,3.55,0.68,,,,0.58,3.93,0.67,,34
4587,R: Roca,-76.50725265,3.588562698,VALLE DEL CAUCA,YUMBO,Activación neutrónica,,,,107,2.66,9.43,,7.92,2.66,0.99,,0.68,,,,0.38,2.48,,,27
4589,R: Roca,-76.5519202,3.642362764,VALLE DEL CAUCA,LA CUMBRE,Activación neutrónica,,,,77,3.34,11.37,,7.47,2.52,1.06,3.53,0.67,,,,0.48,3.02,0.5,,30
4591,R: Roca,-76.62428448,3.67453053,VALLE DEL CAUCA,LA CUMBRE,Activación neutrónica,,,,128,2.36,6.38,,4.69,1.76,0.74,2.39,0.41,,,,0.3,1.88,0.31,,20
4593,R: Roca,-76.53014619,3.530261264,VALLE DEL CAUCA,YUMBO,Activación neutrónica,,,,89,,,,,,,,,,,,,,,,28
4595,R: Roca,-76.58640892,3.851193359,VALLE DEL CAUCA,DAGUA,Activación neutrónica,,,,73,5.11,13.5,,11.67,3.75,1.23,5.14,0.98,,,,0.69,3.79,0.6,,36
4598,R: Roca,-76.42935,3.883240892,VALLE DEL CAUCA,YOTOCO,Activación neutrónica,,,,225,,,,,,,,,,,,,,,,9
4667,SU: Suelo,-74.76925199,5.769111863,ANTIOQUIA,SONSÓN,ICP,,,15,,69.5,160,,56,11.6,1.9,,1.6,,,,,6,1.04,14.1,
4668,SU: Suelo,-74.76925199,5.769111863,ANTIOQUIA,SONSÓN,Plasma (ICP),,36,,24,,,,,,,,,,,,,,,,34
4891,SU: Suelo,-74.77097635,5.769136891,ANTIOQUIA,SONSÓN,ICP,,,15,,68.3,150,,54,11.6,1.9,,1.5,,,,,6.8,1.1,13.9,
4892,SU: Suelo,-74.77097635,5.769136891,ANTIOQUIA,SONSÓN,Plasma (ICP),,37,,23,,,,,,,,,,,,,,,,32
5457,SU: Suelo,-75.07159555,5.774333012,ANTIOQUIA,SONSÓN,ICP,,,13,,8.5,18,,7,1.9,0.6,,-0.5,,,,,1.2,0.19,15.4,
5458,SU: Suelo,-75.07159555,5.774333012,ANTIOQUIA,SONSÓN,Plasma (ICP),,9,,12,,,,,,,,,,,,,,,,4
5788,SU: Suelo,-75.10634704,5.782390307,ANTIOQUIA,SONSÓN,ICP,,,11,,24.7,65,,24,4.6,1.1,,-0.5,,,,,3.6,0.6,18.3,
5789,SU: Suelo,-75.10634704,5.782390307,ANTIOQUIA,SONSÓN,Plasma (ICP),,11,,17,,,,,,,,,,,,,,,,7
6017,SU: Suelo,-75.15390294,5.78247392,ANTIOQUIA,SONSÓN,ICP,,,9,,17.1,36,,19,4.7,1.3,,0.8,,,,,2.7,0.41,14,
6018,SU: Suelo,-75.15390294,5.78247392,ANTIOQUIA,SONSÓN,Plasma (ICP),,7,,12,,,,,,,,,,,,,,,,5
6352,SU: Suelo,-75.14626282,5.790444628,ANTIOQUIA,SONSÓN,ICP,,,6,,29.8,70,,21,6.1,0.7,,-0.5,,,,,5.3,0.92,9.5,
6353,SU: Suelo,-75.14626282,5.790444628,ANTIOQUIA,SONSÓN,Plasma (ICP),,6,,3,,,,,,,,,,,,,,,,8
6463,SU: Suelo,-75.14626282,5.790444628,ANTIOQUIA,SONSÓN,ICP,,,7,,23.9,80,,10,2.7,0.5,,-0.5,,,,,1.3,0.22,8.9,
6464,SU: Suelo,-75.14626282,5.790444628,ANTIOQUIA,SONSÓN,Plasma (ICP),,18,,31,,,,,,,,,,,,,,,,6
6574,SU: Suelo,-74.23099976,5.792109409,BOYACA,OTANCHE,Activación neutrónica,,,8,,59,100,,47,8.7,1.8,,-0.5,,,,,3,0.45,12.6,
